Altium Designer Pick and Place Locations
H:\OneDrive-UEL\OneDrive - Universidade Estadual de Londrina\[1]-Pcompartilhada\[3]-3_ano\PI 3B\altium\Grupo4-TecladoNumerico\teclado\Project Outputs for teclado\Generates pick and place files\Teclas not fitted.csv

========================================================================================================================
File Design Information:

Date:       18/12/25
Time:       09:46
Revision:   f44636d2510868babd95c883ab07aa7c287b38c2
Variant:    Teclas not fitted
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C7","C 27pf 0603","TopLayer","c_27pf_0603","18.9800","57.5000","180","0603 27 pF 50 V Б1 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C6","C 27pf 0603","TopLayer","c_27pf_0603","12.7200","57.4000","0","0603 27 pF 50 V Б1 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"R14","10k 0603","BottomLayer","Resistor_10k_0603","10.1000","19.8000","0","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R13","10k 0603","BottomLayer","Resistor_10k_0603","10.1000","22.4000","0","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R12","10k 0603","BottomLayer","Resistor_10k_0603","10.2000","30.0000","0","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R11","10k 0603","BottomLayer","Resistor_10k_0603","10.3000","27.5000","180","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R10","10k 0603","BottomLayer","Resistor_10k_0603","10.2000","32.6000","180","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R9","10k 0603","BottomLayer","Resistor_10k_0603","10.2500","35.1000","180","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R4","10k 0603","TopLayer","Resistor_10k_0603","9.0000","64.8000","180","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R2","10k 0603","BottomLayer","Resistor_10k_0603","17.4000","55.8000","90","100mW Thick Film Resistors Б1% Б100ppm/? 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R1","R 1.5k 0603","TopLayer","R_1.5k_0603","9.9000","73.7000","180","100Mw Thick Film Resistors 100Ppm/ 5% 1.5K 0603 Chip Resistor Surface Mount Rohs"
"C8","105 0603","BottomLayer","cap_105_0603","11.1834","80.5127","180","10V 1uF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","105 0603","BottomLayer","cap_105_0603","14.3000","55.9000","270","10V 1uF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C13","104 0603","TopLayer","Cap_104_0603","10.8000","60.0000","0","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C12","104 0603","BottomLayer","Cap_104_0603","9.4364","70.6897","0","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C9","104 0603","BottomLayer","Cap_104_0603","11.2834","78.4127","0","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","104 0603","BottomLayer","Cap_104_0603","24.6000","60.8000","180","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C3","104 0603","BottomLayer","Cap_104_0603","24.8000","69.2000","270","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","104 0603","BottomLayer","Cap_104_0603","15.9000","71.1000","180","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","104 0603","BottomLayer","Cap_104_0603","8.3000","63.7000","270","16V 100nF X7R Б10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C10","N223 0603","BottomLayer","cap_223_0603","20.4261","74.7070","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 22nF, Surface Mount, 0603 inch"
"J1","SBH11-PBPC-D10-ST-BK","TopLayer","Conector_20_pinos_p/_programaчуo","14.6700","31.2700","270","Conn Shrouded Header (4 Sides) HDR 20 POS 2.54mm Solder ST Top Entry Thru-Hole"
"Y1","8MHz","TopLayer","Cristal_8MHz","15.7590","54.1564","0","Crystal 8MHz Б30ppm (Tol) Б100ppm (Stability) 20pF FUND 60Ohm 2-Pin SMD T/R"
"D15","Diodo","BottomLayer","Diodo","83.4500","10.1750","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D14","Diodo","BottomLayer","Diodo","64.0250","10.4750","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D13","Diodo","BottomLayer","Diodo","45.0000","9.9750","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D12","Diodo","BottomLayer","Diodo","83.2500","29.6500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D11","Diodo","BottomLayer","Diodo","64.2000","30.0500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D10","Diodo","BottomLayer","Diodo","45.2500","29.8500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D9","Diodo","BottomLayer","Diodo","83.3500","48.6000","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D8","Diodo","BottomLayer","Diodo","64.3000","48.8000","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D7","Diodo","BottomLayer","Diodo","45.2500","48.8000","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D6","Diodo","BottomLayer","Diodo","83.5500","67.8500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D5","Diodo","BottomLayer","Diodo","64.3000","67.7500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D4","Diodo","BottomLayer","Diodo","45.2500","67.7500","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D3","Diodo","BottomLayer","Diodo","83.3500","86.7000","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D2","Diodo","BottomLayer","Diodo","64.3000","87.0200","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
"D1","Diodo","BottomLayer","Diodo","45.0500","86.9000","90","Diode, Rectifier, Fast, Vr 100V, If 300MA, Pkg SOD-323, Vf 1V, Trr 4NS, Cj 4PF, Tj +150C"
